ASIN,Titulo,Amazon Price (USD),Calculated MXN (Scraper),Published Price (Site)
B0CW6N79NT,"2 Botes Dmso Líquido 473ml",N/A,N/A,1999.00
B01GBELE7G,"2 Botellas DMSO 99.9% Heiltropfen",N/A,N/A,1499.00
B0CMN243FQ,"Crema DMSO Dr. Robaina 114 gramos",N/A,N/A,1199.00
B09HN9S5C5,"3 Botes de Dmso Líquido 237 ml",N/A,N/A,1599.00
B0CWYQ2536,"Dr. Robaina DMSO Lavender Roll-On - Alivio definitivo del dolor y nutrición de la piel | 99.9% de grado farmacéutico puro con árnica magnesio aloe vera vitamina E | Fabricado en los Estados Unidos",N/A,N/A,1076.00
B006SW94SI,"DMSO CREMA ROSA 70/30 ALOE 4 OZ",N/A,N/A,913.00
B00016QZ0C,"DMSO Gel con Aloe Vera 4 onzas",N/A,N/A,906.00
B0FKHJKB4W,"Earth Harmony DMSO grado farmacéutico 99.9% (sulfóxido de dimetilo) pureza - DMSO líquido 99.9% puro con cuentagotas (2 onzas)",N/A,N/A,915.00
B0BS1YRGYD,"DMSO",N/A,N/A,690.00
B00Z2449PG,"DMSO Gel 70/30 - Sin fragancia - 4 oz - 99% DMSO Puro - Natures's Gift",N/A,N/A,915.00
B000PM1OVW,"99.9% Pure DMSO Liquid; 70% DMSO / 30% agua destilada - 8 fl. oz.",31,1358.70,1358.70
B0CMN5RN2X,"Dr. Robaina DMSO Roll-On - Cuidado de la piel de rápida absorción con árnica magnesio aloe vera y vitamina E | Fórmula no grasa para comodidad muscular y articular | Fabricado en los Estados Unidos",N/A,N/A,955.00
B01EU54A1K,"70% DMSO - Ingredientes de grado farmacéutico | Dimetilsulfóxido líquido 3.4 oz - 3.4 fl oz | Alta pureza | Bajo olor | Heiltropfen® DMSO Liquid 70/30",N/A,N/A,958.00
B000K74RRA,"DMSO Roll On 70/30 Aloe Plast - 3 oz - Líquido",N/A,N/A,964.00
B0070Z7KME,"DMSO Crema con aloe vera aroma de rosa 4 oz 4 Un solo color",N/A,N/A,1009.00
B000WUCGS2,"DMSO Suplemento puro 8 onzas líquidas",N/A,N/A,1045.00
B01C94TQ86,"DMSO 3 oz. Roll-on 5 botellas especiales 99.995% de bajo olor grado farmacéutico líquido sin BPA contenedor",N/A,N/A,1685.00
B0CV26NVGT,"Dmso Líquido 473ml Sin BPA",N/A,N/A,1399.00
B071FHTRVD,"DMSO 70/30 16 oz. Gel con agua destilada 99.995% puro DMSO de bajo olor grado farmacéutico dimetilsulfóxido",N/A,N/A,1092.00
B0DPRNYRDF,"DMSO Gel con aloe vera | Mezcla de dimetilsulfóxido de grado farmacéutico 70/30 | tarro de plástico sin BPA de 16 onzas (1 libra)",N/A,N/A,1108.00
B000K78Z96,"Nature’s Gift DMSO líquido 99.9% puro plástico 8 onzas líquidas",N/A,N/A,1107.00
B084BV1VPF,"DMSO Pharma Grade 99.9% Ph. EUR. 8.45 fl oz - 8.5 fl oz | DMSO líquido puro en botella de vidrio ámbar | Sin diluir e inodoro | Fabricado en Alemania",N/A,N/A,1362.00
B0FLQ4LJTY,"DMSO Crema 99.9% DMSO puro bajo olor no graso 4 onzas",36,1525.42,1525.42
B01D0HSE70,"DMSO 3 oz. Rollo en 4 botellas Especial No diluido 99.995% Líquido de bajo olor grado farmacéutico en un recipiente sin BPA",N/A,N/A,1493.00
B0CJMMBT3P,"DMSO puro en una botella de vidrio dimetil sulfóxido líquido puro 16.9 onzas no diluido bajo olor",N/A,N/A,1525.00
B01K3UWXRO,"DMSO 50% Gel con agua desionizada y aloe vera botella de 4 onzas",48,1925.56,1925.56
B0752VGK4Q,"DMSO Gel - Contenedor sin BPA de grado farmacéutico 99.995 % sin diluir 99.995 % de bajo olor",N/A,N/A,1557.00
B0C57H1NSQ,"Paquete/juego de 2 unidades DMSO 99.9% 3.4 fl oz + gel DMSO con aloe vera 5 oz. | Heiltropfen®",45.6,1845.53,1845.53
B01K3RZ5OU,"DMSO 70% Gel con agua desionizada y aloe vera botella de 4 onzas",48,1925.56,1925.56
B01K3TMZ4G,"DMSO 70% Gel con deionized Bomba de agua y Aloe Vera 16 oz botella",95,3492.78,3492.78
B01BSYQ0XC,"DMSO Líquido al 99.995% Botella Vidrio",N/A,N/A,1499.00
B01K3RJBGS,"DMSO 70% Gel con deionized y Aloe Vera Bomba de 8 oz botella de agua",64,2459.08,2459.08
B09FHZJTPP,"DMSO Un galón (128 onzas) puro 99995% líquido de grado farmacéutico sin olor.",N/A,N/A,4122.00
B0DM5V5WFM,"DMSO 70% con agua desmineralizada 30% - Botella de vidrio 3.38oz con cuentagotas",N/A,N/A,980.00
